id,subject,topic,question,optionA,optionB,optionC,optionD,answer,explanation,difficulty,tags,passage_id,passage_text
173,Physics,Total Internal Reflection,Total internal reflection occurs when light travels from a,Less dense to a denser medium at any angle,Denser to a less dense medium at an angle greater than the critical angle,Denser to a less dense medium at any angle,Vacuum into a denser medium,B,Total internal reflection happens when light passes from a denser to a less dense medium at an angle exceeding the critical angle,Medium,total-internal-reflection,,
174,Physics,Total Internal Reflection,The critical angle is defined as the angle of incidence in the denser medium for which the angle of refraction is,0 degrees,45 degrees,90 degrees,180 degrees,C,The critical angle is the specific angle of incidence that produces a refraction angle of exactly 90 degrees,Medium,critical-angle,,
175,Physics,Total Internal Reflection,A common everyday application of total internal reflection is in,Simple magnifying glasses,Optical fibres used in telecommunications,Ordinary window glass,Thermometers,B,Optical fibres rely on total internal reflection to transmit light signals over long distances with minimal loss,Medium,tir-applications,,
176,Physics,Mirrors,A concave mirror can form a real image when the object is placed,Between the pole and the focus only,Beyond the focal point,At infinity only,Behind the mirror,B,"A concave mirror forms a real, inverted image when the object is placed beyond its focal point",Medium,concave-mirror-images,,
177,Physics,Mirrors,The image formed by a plane mirror is,Real and inverted,"Virtual, upright, and the same size as the object",Real and magnified,Virtual and inverted,B,"A plane mirror always produces a virtual, upright image that is the same size as the object",Easy,plane-mirror-image,,
178,Physics,Mirrors,Convex mirrors are commonly used as vehicle side mirrors because they,Magnify objects greatly,"Provide a wider field of view by forming smaller, upright images",Form real images only,Cannot reflect light,B,"Convex mirrors diverge reflected rays, giving a wider field of view with smaller, upright virtual images",Medium,convex-mirror-uses,,
179,Physics,Mirrors,"Using the mirror formula 1/f = 1/u + 1/v, if the focal length is 10cm and object distance is 30cm, find the image distance.",7.5cm,15cm,20cm,40cm,B,"1/10 = 1/30 + 1/v, so 1/v = 1/10 - 1/30 = 2/30, giving v = 15cm",Medium,mirror-formula-calculation,,
180,Physics,Lenses,"A convex (converging) lens forms a real, inverted image when the object is placed",Within the focal length,Beyond the focal length,At the optical centre only,Behind the lens,B,"A convex lens produces a real, inverted image when the object distance exceeds the focal length",Medium,convex-lens-images,,
181,Physics,Lenses,A concave (diverging) lens always forms an image that is,Real and inverted,"Virtual, upright, and diminished",Real and magnified,Virtual and inverted,B,"A concave lens always produces a virtual, upright, and smaller image regardless of object position",Medium,concave-lens-images,,
182,Physics,Lenses,The power of a lens is defined as the reciprocal of its,Diameter,Focal length in metres,Refractive index,Magnification,B,Lens power (measured in dioptres) equals 1 divided by the focal length expressed in metres,Medium,lens-power,,
