"id","subject","topic","question","option_a","option_b","option_c","option_d","correct_answer","explanation","year","difficulty","exam_type","tags","status","passage_id","passage_text"
"1","Mathematics","Number and Numeration","Simplify: 3/4 + 1/2","5/4","1/4","5/8","1","A","3/4 + 1/2 = 3/4 + 2/4 = 5/4","","Easy","Practice","fractions","published","",""
"2","Mathematics","Number and Numeration","Convert 0.75 to a fraction in its lowest terms.","3/4","7/5","3/5","75/10","A","0.75 = 75/100, which simplifies to 3/4 in its lowest terms","","Easy","Practice","decimals-fractions","published","",""
"3","Mathematics","Number and Numeration","What is 15% of 200?","15","20","30","45","C","15% of 200 = 15/100 x 200 = 30","","Easy","Practice","percentages","published","",""
"4","Mathematics","Number and Numeration","Express 45 as a product of its prime factors.","3 x 3 x 5","3 x 5 x 5","3 x 15","9 x 5","A","45 = 9 x 5 = 3 x 3 x 5, so its prime factorization is 3 x 3 x 5","","Medium","Practice","prime-factorization","published","",""
"5","Mathematics","Number and Numeration","Find the Highest Common Factor (HCF) of 24 and 36.","6","12","18","24","B","The factors of 24 are 1,2,3,4,6,8,12,24 and of 36 are 1,2,3,4,6,9,12,18,36; the highest common factor is 12","","Medium","Practice","hcf-lcm","published","",""
"6","Mathematics","Number and Numeration","Find the Lowest Common Multiple (LCM) of 4 and 6.","12","18","24","6","A","Multiples of 4 are 4,8,12,16... and multiples of 6 are 6,12,18... so the lowest common multiple is 12","","Medium","Practice","hcf-lcm","published","",""
"7","Mathematics","Number and Numeration","Convert the binary number 1011 to base 10.","9","11","13","15","B","1011 in binary = (1x8)+(0x4)+(1x2)+(1x1) = 8+0+2+1 = 11","","Medium","Practice","number-bases","published","",""
"8","Mathematics","Number and Numeration","Simplify: 2^3 x 2^2","2^5","2^6","4^5","2^1","A","When multiplying powers with the same base, add the exponents: 2^3 x 2^2 = 2^(3+2) = 2^5","","Medium","Practice","indices","published","",""
"9","Mathematics","Number and Numeration","Evaluate: 27^(1/3)","3","9","6","27","A","27^(1/3) means the cube root of 27, which is 3, since 3 x 3 x 3 = 27","","Medium","Practice","indices","published","",""
"10","Mathematics","Algebra","Simplify: 3x + 5x - 2x","6x","8x","10x","4x","A","Combine like terms: 3x + 5x - 2x = (3+5-2)x = 6x","","Easy","Practice","algebraic-simplification","published","",""
"11","Mathematics","Algebra","Solve for x: 2x + 5 = 15","x = 5","x = 10","x = 7.5","x = 20","A","2x + 5 = 15 gives 2x = 10, so x = 10/2 = 5","","Easy","Practice","linear-equations","published","",""
"12","Mathematics","Algebra","Factorize: x^2 - 9","(x-3)(x+3)","(x-9)(x+1)","(x+3)^2","(x-3)^2","A","x^2 - 9 is a difference of two squares, which factorizes to (x-3)(x+3)","","Medium","Practice","factorization","published","",""
"13","Mathematics","Algebra","Solve the quadratic equation: x^2 - 5x + 6 = 0","x = 2 or x = 3","x = 1 or x = 6","x = -2 or x = -3","x = 5 or x = 6","A","Factorizing x^2 - 5x + 6 gives (x-2)(x-3) = 0, so x = 2 or x = 3","","Medium","Practice","quadratic-equations","published","",""
"14","Mathematics","Algebra","Expand: (x + 2)(x + 3)","x^2 + 5x + 6","x^2 + 6x + 5","x^2 + 5x + 5","x^2 + 6","A","Using FOIL: x*x + x*3 + 2*x + 2*3 = x^2 + 3x + 2x + 6 = x^2 + 5x + 6","","Medium","Practice","expansion","published","",""
"15","Mathematics","Algebra","If y = 3x - 2, find y when x = 4.","10","12","14","16","A","Substituting x = 4 into y = 3x - 2 gives y = 3(4) - 2 = 12 - 2 = 10","","Easy","Practice","substitution","published","",""
"16","Mathematics","Algebra","Solve the simultaneous equations: x + y = 7, x - y = 3","x = 5, y = 2","x = 2, y = 5","x = 4, y = 3","x = 3, y = 4","A","Adding both equations: 2x = 10, so x = 5. Substituting back gives y = 7 - 5 = 2","","Medium","Practice","simultaneous-equations","published","",""
"17","Mathematics","Algebra","Make x the subject of the formula: y = 2x + 3","x = (y - 3)/2","x = (y + 3)/2","x = 2(y - 3)","x = (y - 2)/3","A","From y = 2x + 3, subtract 3 from both sides to get y - 3 = 2x, then divide by 2: x = (y-3)/2","","Medium","Practice","change-of-subject","published","",""
"18","Mathematics","Geometry","The sum of the interior angles of a triangle is","90 degrees","180 degrees","270 degrees","360 degrees","B","The interior angles of any triangle always sum to 180 degrees","","Easy","Practice","triangles","published","",""
"19","Mathematics","Geometry","The sum of the interior angles of a quadrilateral is","180 degrees","270 degrees","360 degrees","450 degrees","C","The interior angles of any quadrilateral always sum to 360 degrees","","Easy","Practice","quadrilaterals","published","",""
"20","Mathematics","Geometry","A triangle with all three sides of equal length is called","Isosceles","Equilateral","Scalene","Right-angled","B","An equilateral triangle has all three sides and all three angles equal","","Easy","Practice","triangles","published","",""
"21","Mathematics","Geometry","A triangle with two sides of equal length is called","Equilateral","Isosceles","Scalene","Obtuse","B","An isosceles triangle has exactly two sides of equal length and two equal base angles","","Easy","Practice","triangles","published","",""
"22","Mathematics","Geometry","Find the area of a rectangle with length 8cm and width 5cm.","13 cm^2","40 cm^2","26 cm^2","45 cm^2","B","Area of a rectangle = length x width = 8 x 5 = 40 cm^2","","Easy","Practice","area","published","",""
