"id","subject","topic","question","option_a","option_b","option_c","option_d","correct_answer","explanation","year","difficulty","exam_type","tags","status","passage_id","passage_text"
"1","English","Comprehension","According to the passage, what is the main effect of young people leaving rural villages?","Villages become more prosperous","Villages are left with fewer people, mostly older residents","Cities become less crowded","Farming increases in rural areas","B","The passage states that villages now rely on a shrinking number of older residents as young people leave","","Medium","Practice","comprehension,rural-urban-migration","published","P1","In many Nigerian cities, the movement of young people from rural villages in search of work has reshaped both the towns they leave and the cities they enter. Villages once busy with farming now rely on a shrinking number of older residents to keep tradition alive, while urban centres strain under the weight of new arrivals seeking jobs that often do not exist. Some analysts argue that this movement, if properly managed through rural investment and skills training, could still benefit the nation as a whole. Others warn that without deliberate policy, the imbalance will only deepen, leaving villages hollowed out and cities overcrowded."
"2","English","Comprehension","The word 'strain' as used in the passage most nearly means","Relax","Struggle under pressure","Celebrate","Expand freely","B","In context, 'strain under the weight of new arrivals' means the cities struggle under pressure from population growth","","Medium","Practice","comprehension,vocabulary-in-context","published","P1","In many Nigerian cities, the movement of young people from rural villages in search of work has reshaped both the towns they leave and the cities they enter. Villages once busy with farming now rely on a shrinking number of older residents to keep tradition alive, while urban centres strain under the weight of new arrivals seeking jobs that often do not exist. Some analysts argue that this movement, if properly managed through rural investment and skills training, could still benefit the nation as a whole. Others warn that without deliberate policy, the imbalance will only deepen, leaving villages hollowed out and cities overcrowded."
"3","English","Comprehension","What solution does the passage suggest could make rural-urban migration beneficial?","Banning migration completely","Rural investment and skills training","Reducing the population of cities by force","Ignoring the issue entirely","B","The passage mentions that migration could benefit the nation if managed through rural investment and skills training","","Medium","Practice","comprehension,detail","published","P1","In many Nigerian cities, the movement of young people from rural villages in search of work has reshaped both the towns they leave and the cities they enter. Villages once busy with farming now rely on a shrinking number of older residents to keep tradition alive, while urban centres strain under the weight of new arrivals seeking jobs that often do not exist. Some analysts argue that this movement, if properly managed through rural investment and skills training, could still benefit the nation as a whole. Others warn that without deliberate policy, the imbalance will only deepen, leaving villages hollowed out and cities overcrowded."
"4","English","Comprehension","What is the overall tone of the passage?","Purely celebratory","Balanced and analytical","Angry and accusatory","Comedic","B","The passage presents both potential benefits and risks of migration in a measured, analytical tone","","Medium","Practice","comprehension,tone","published","P1","In many Nigerian cities, the movement of young people from rural villages in search of work has reshaped both the towns they leave and the cities they enter. Villages once busy with farming now rely on a shrinking number of older residents to keep tradition alive, while urban centres strain under the weight of new arrivals seeking jobs that often do not exist. Some analysts argue that this movement, if properly managed through rural investment and skills training, could still benefit the nation as a whole. Others warn that without deliberate policy, the imbalance will only deepen, leaving villages hollowed out and cities overcrowded."
"5","English","Comprehension","Based on the passage, what might happen if no deliberate policy is put in place?","Villages and cities will both flourish equally","The imbalance between rural and urban areas will deepen","Migration will stop naturally","Jobs will immediately increase in cities","B","The passage warns that without deliberate policy, the imbalance between hollowed out villages and overcrowded cities will deepen","","Medium","Practice","comprehension,inference","published","P1","In many Nigerian cities, the movement of young people from rural villages in search of work has reshaped both the towns they leave and the cities they enter. Villages once busy with farming now rely on a shrinking number of older residents to keep tradition alive, while urban centres strain under the weight of new arrivals seeking jobs that often do not exist. Some analysts argue that this movement, if properly managed through rural investment and skills training, could still benefit the nation as a whole. Others warn that without deliberate policy, the imbalance will only deepen, leaving villages hollowed out and cities overcrowded."
"6","English","Comprehension","What is the main problem described in the passage?","High cost of raw materials","Unreliable electricity affecting small businesses","Lack of skilled workers","High taxation on businesses","B","The passage centers on the challenge unreliable electricity poses to small businesses like tailors and barbers","","Easy","Practice","comprehension,main-idea","published","P2","Access to reliable electricity remains one of the most persistent challenges facing small businesses across Nigeria. A tailor who cannot power a sewing machine, or a barber who cannot run clippers, often loses income during outages that can stretch for hours or even days. In response, many entrepreneurs have turned to solar panels and battery inverters, accepting the upfront cost as an investment in stability. While these solutions have reduced dependence on the national grid for some, the initial expense remains out of reach for many of the smallest businesses, meaning the benefits of self-generated power are not yet shared equally."
"7","English","Comprehension","According to the passage, how have some entrepreneurs responded to power outages?","By closing their businesses permanently","By adopting solar panels and battery inverters","By relocating to other countries","By reducing their working hours to zero","B","The passage states that many entrepreneurs have turned to solar panels and battery inverters to cope with outages","","Medium","Practice","comprehension,detail","published","P2","Access to reliable electricity remains one of the most persistent challenges facing small businesses across Nigeria. A tailor who cannot power a sewing machine, or a barber who cannot run clippers, often loses income during outages that can stretch for hours or even days. In response, many entrepreneurs have turned to solar panels and battery inverters, accepting the upfront cost as an investment in stability. While these solutions have reduced dependence on the national grid for some, the initial expense remains out of reach for many of the smallest businesses, meaning the benefits of self-generated power are not yet shared equally."
"8","English","Comprehension","The phrase 'not yet shared equally' suggests that","All businesses have benefited equally from solar solutions","Only some businesses can currently afford the switch to solar power","No businesses use solar power","The government shares electricity equally","B","The passage implies that the cost of solar solutions remains out of reach for the smallest businesses, so benefits are uneven","","Medium","Practice","comprehension,inference","published","P2","Access to reliable electricity remains one of the most persistent challenges facing small businesses across Nigeria. A tailor who cannot power a sewing machine, or a barber who cannot run clippers, often loses income during outages that can stretch for hours or even days. In response, many entrepreneurs have turned to solar panels and battery inverters, accepting the upfront cost as an investment in stability. While these solutions have reduced dependence on the national grid for some, the initial expense remains out of reach for many of the smallest businesses, meaning the benefits of self-generated power are not yet shared equally."
"9","English","Comprehension","Which word from the passage is closest in meaning to 'persistent'?","Occasional","Continuing without stopping","Minor","Forgotten","B","'Persistent' means continuing to exist over a long period, matching 'continuing without stopping'","","Medium","Practice","comprehension,vocabulary-in-context","published","P2","Access to reliable electricity remains one of the most persistent challenges facing small businesses across Nigeria. A tailor who cannot power a sewing machine, or a barber who cannot run clippers, often loses income during outages that can stretch for hours or even days. In response, many entrepreneurs have turned to solar panels and battery inverters, accepting the upfront cost as an investment in stability. While these solutions have reduced dependence on the national grid for some, the initial expense remains out of reach for many of the smallest businesses, meaning the benefits of self-generated power are not yet shared equally."
"10","English","Cloze Passage","Choose the word that best completes gap (1) in the passage.","assist","assisted","assisting","to assisting","A","'To assist' fits after 'woke up before dawn to', requiring the base form of the verb","","Medium","Practice","cloze,verb-form","published","CLOZE1","Every morning, Ade woke up before dawn to (1)___ his father on the farm. Although the work was difficult, he never (2)___ to complain, because he understood how much the family (3)___ on the harvest. By midday, the sun would be (4)___ hot, and the two of them would rest under a tree before (5)___ their tasks. Ade dreamed that one day he would (6)___ enough money to buy his own tractor, so that farming would become less (7)___ for his family. His teacher often told him that education could (8)___ him achieve that dream faster than hard labour alone."
"11","English","Cloze Passage","Choose the word that best completes gap (2) in the passage.","used","fails","refuse","failed","A","'Never used to complain' correctly expresses a past habitual action using 'used to'","","Medium","Practice","cloze,verb-form","published","CLOZE1","Every morning, Ade woke up before dawn to (1)___ his father on the farm. Although the work was difficult, he never (2)___ to complain, because he understood how much the family (3)___ on the harvest. By midday, the sun would be (4)___ hot, and the two of them would rest under a tree before (5)___ their tasks. Ade dreamed that one day he would (6)___ enough money to buy his own tractor, so that farming would become less (7)___ for his family. His teacher often told him that education could (8)___ him achieve that dream faster than hard labour alone."
"12","English","Cloze Passage","Choose the word that best completes gap (3) in the passage.","depend","depends","depended","depending","C","'The family depended on the harvest' requires the past tense to match the narrative's past tense","","Medium","Practice","cloze,verb-tense","published","CLOZE1","Every morning, Ade woke up before dawn to (1)___ his father on the farm. Although the work was difficult, he never (2)___ to complain, because he understood how much the family (3)___ on the harvest. By midday, the sun would be (4)___ hot, and the two of them would rest under a tree before (5)___ their tasks. Ade dreamed that one day he would (6)___ enough money to buy his own tractor, so that farming would become less (7)___ for his family. His teacher often told him that education could (8)___ him achieve that dream faster than hard labour alone."
"13","English","Cloze Passage","Choose the word that best completes gap (4) in the passage.","extreme","extremely","extremity","extremeness","B","An adverb is needed to modify the adjective 'hot', making 'extremely hot' correct","","Medium","Practice","cloze,word-form","published","CLOZE1","Every morning, Ade woke up before dawn to (1)___ his father on the farm. Although the work was difficult, he never (2)___ to complain, because he understood how much the family (3)___ on the harvest. By midday, the sun would be (4)___ hot, and the two of them would rest under a tree before (5)___ their tasks. Ade dreamed that one day he would (6)___ enough money to buy his own tractor, so that farming would become less (7)___ for his family. His teacher often told him that education could (8)___ him achieve that dream faster than hard labour alone."
"14","English","Cloze Passage","Choose the word that best completes gap (5) in the passage.","resume","resuming","resumed","to resumed","B","After the preposition 'before', a gerund form 'resuming' is grammatically correct","","Medium","Practice","cloze,gerund","published","CLOZE1","Every morning, Ade woke up before dawn to (1)___ his father on the farm. Although the work was difficult, he never (2)___ to complain, because he understood how much the family (3)___ on the harvest. By midday, the sun would be (4)___ hot, and the two of them would rest under a tree before (5)___ their tasks. Ade dreamed that one day he would (6)___ enough money to buy his own tractor, so that farming would become less (7)___ for his family. His teacher often told him that education could (8)___ him achieve that dream faster than hard labour alone."
"15","English","Cloze Passage","Choose the word that best completes gap (6) in the passage.","save","saves","saving","saved","A","The base form 'save' follows the modal-like structure 'would save enough money'","","Medium","Practice","cloze,verb-form","published","CLOZE1","Every morning, Ade woke up before dawn to (1)___ his father on the farm. Although the work was difficult, he never (2)___ to complain, because he understood how much the family (3)___ on the harvest. By midday, the sun would be (4)___ hot, and the two of them would rest under a tree before (5)___ their tasks. Ade dreamed that one day he would (6)___ enough money to buy his own tractor, so that farming would become less (7)___ for his family. His teacher often told him that education could (8)___ him achieve that dream faster than hard labour alone."
"16","English","Cloze Passage","Choose the word that best completes gap (7) in the passage.","burdensome","burden","burdened","burdening","A","An adjective is needed after 'less', making 'burdensome' the correct choice","","Medium","Practice","cloze,word-form","published","CLOZE1","Every morning, Ade woke up before dawn to (1)___ his father on the farm. Although the work was difficult, he never (2)___ to complain, because he understood how much the family (3)___ on the harvest. By midday, the sun would be (4)___ hot, and the two of them would rest under a tree before (5)___ their tasks. Ade dreamed that one day he would (6)___ enough money to buy his own tractor, so that farming would become less (7)___ for his family. His teacher often told him that education could (8)___ him achieve that dream faster than hard labour alone."
"17","English","Cloze Passage","Choose the word that best completes gap (8) in the passage.","help","helps","helped","helping","A","The base form 'help' follows the modal 'could', as in 'could help him achieve'","","Medium","Practice","cloze,modal-verbs","published","CLOZE1","Every morning, Ade woke up before dawn to (1)___ his father on the farm. Although the work was difficult, he never (2)___ to complain, because he understood how much the family (3)___ on the harvest. By midday, the sun would be (4)___ hot, and the two of them would rest under a tree before (5)___ their tasks. Ade dreamed that one day he would (6)___ enough money to buy his own tractor, so that farming would become less (7)___ for his family. His teacher often told him that education could (8)___ him achieve that dream faster than hard labour alone."
"18","English","Lexis and Structure","Choose the word that is nearest in meaning to the underlined word: The politician's speech was full of RHETORIC.","Silence","Persuasive but often insincere language","Complete truth","Musical sound","B","Rhetoric refers to language designed to persuade, often at the expense of sincerity","","Medium","Practice","synonyms","published","",""
"19","English","Lexis and Structure","Choose the word nearest in meaning to: The old bridge was considered DILAPIDATED.","Newly built","In a state of disrepair","Extremely strong","Brightly painted","B","Dilapidated means falling into disrepair or ruin","","Medium","Practice","synonyms","published","",""
"20","English","Lexis and Structure","Choose the word nearest in meaning to: Her explanation was remarkably LUCID.","Confusing","Clear and easy to understand","Very long","Poorly written","B","Lucid means expressed clearly and is easy to understand","","Medium","Practice","synonyms","published","",""
