"id","subject","topic","question","option_a","option_b","option_c","option_d","correct_answer","explanation","year","difficulty","exam_type","tags","status"
"1","Economics","Basic Economic Concepts","Economics is best defined as the study of","How governments print money","How society allocates scarce resources among competing uses","How to become wealthy","How prices are fixed by law","B","Economics studies how scarce resources are allocated to satisfy unlimited human wants","","Easy","Practice","basic-concepts,scarcity","published"
"2","Economics","Basic Economic Concepts","Which of the following is a factor of production?","Profit","Land","Price","Demand","B","Land, labour, capital and entrepreneurship are the four factors of production","","Easy","Practice","factors-of-production","published"
"3","Economics","Basic Economic Concepts","The reward for the factor of production called capital is","Wages","Rent","Interest","Profit","C","Interest is the payment made for the use of capital in production","","Easy","Practice","factors-of-production","published"
"4","Economics","Basic Economic Concepts","The reward for entrepreneurship is","Rent","Wages","Interest","Profit","D","Profit is the reward earned by an entrepreneur for bearing business risk","","Easy","Practice","factors-of-production","published"
"5","Economics","Basic Economic Concepts","A situation where resources are used to produce one thing at the expense of another illustrates","Opportunity cost","Division of labour","Diminishing returns","Elasticity","A","Opportunity cost is the value of the next best alternative given up when a choice is made","","Medium","Practice","opportunity-cost","published"
"6","Economics","Basic Economic Concepts","Which of these best distinguishes a need from a want?","Needs are unlimited while wants are limited","Needs are essential for survival while wants add comfort","Needs cost money while wants are free","There is no difference between them","B","Needs are essential for survival such as food and shelter while wants improve comfort but are not essential","","Easy","Practice","needs-wants","published"
"7","Economics","Basic Economic Concepts","Positive economics is concerned with","What ought to be","Value judgments","What is, based on facts","Political opinions","C","Positive economics deals with objective, fact based statements that can be tested","","Medium","Practice","positive-normative","published"
"8","Economics","Demand","The law of demand states that, all things being equal, as price rises","Quantity demanded rises","Quantity demanded falls","Quantity demanded stays constant","Supply rises","B","The law of demand states an inverse relationship between price and quantity demanded, ceteris paribus","","Easy","Practice","law-of-demand","published"
"9","Economics","Demand","A rightward shift of the demand curve can be caused by","A fall in consumer income for a normal good","An increase in consumer income for a normal good","A rise in the price of the good itself","A decrease in population","B","For a normal good, a rise in income increases demand and shifts the curve rightward","","Medium","Practice","demand-shift","published"
"10","Economics","Demand","Goods for which demand falls as income rises are called","Normal goods","Inferior goods","Complementary goods","Substitute goods","B","Inferior goods are goods whose demand decreases as consumer income increases","","Medium","Practice","inferior-goods","published"
"11","Economics","Demand","Two goods are said to be substitutes if","A rise in the price of one increases demand for the other","A rise in the price of one decreases demand for the other","They are always used together","They have no price relationship","A","Substitute goods can replace each other, so a price rise in one increases demand for the other","","Medium","Practice","substitutes","published"
"12","Economics","Demand","Complementary goods are goods that are","Used independently of each other","Used together to satisfy a want","Always identical in price","Unrelated in consumption","B","Complementary goods are consumed jointly, such as cars and fuel","","Medium","Practice","complements","published"
"13","Economics","Demand","Which of these is NOT a determinant of demand?","Price of the good","Income of the consumer","Cost of production","Taste and preference","C","Cost of production affects supply, not demand directly","","Easy","Practice","determinants-of-demand","published"
"14","Economics","Demand","A movement along the demand curve is caused by","A change in the price of the good itself","A change in consumer income","A change in taste","A change in population","A","A change in the good's own price causes a movement along, not a shift of, the demand curve","","Medium","Practice","demand-curve","published"
"15","Economics","Supply","The law of supply states that, all things being equal, as price rises","Quantity supplied falls","Quantity supplied rises","Quantity supplied stays the same","Demand rises","B","The law of supply states a direct relationship between price and quantity supplied, ceteris paribus","","Easy","Practice","law-of-supply","published"
