"id","subject","topic","question","option_a","option_b","option_c","option_d","correct_answer","explanation","year","difficulty","exam_type","tags","status","passage_id","passage_text"
"1","Government","Basic Concepts","Government can be best defined as","A group of people living permanently in a defined territory","The institution or body of persons that makes and enforces laws and policies for a state","A voluntary association of citizens with no legal powers","A religious body that guides moral conduct","B","Government refers to the institution through which the authority of the state is exercised, making and enforcing laws and policies for the people","","Easy","Practice","government-definition","published","",""
"2","Government","Basic Concepts","A state, in political science, is defined mainly as a political community that possesses","Only a population and nothing else","A defined territory, population, government, and sovereignty","Only a written constitution","Only a flag and national anthem","B","A state is generally defined by four essential elements: a defined territory, a population, an organized government, and sovereignty","","Medium","Practice","state-definition","published","",""
"3","Government","Basic Concepts","Sovereignty refers to","The supreme and final authority of a state to govern itself without external control","The population size of a country","The number of political parties in a state","A country's total land area","A","Sovereignty is the supreme authority of a state to make decisions and govern its affairs free from external control","","Medium","Practice","sovereignty","published","",""
"4","Government","Basic Concepts","A nation differs from a state mainly in that a nation is based primarily on","Legal and political boundaries only","A shared sense of identity, such as common culture, language, or history","Government structures alone","International recognition only","B","A nation is a group of people bound together by common ties such as culture, language, history, or ancestry, which may or may not align with state boundaries","","Medium","Practice","nation-vs-state","published","",""
"5","Government","Basic Concepts","Internal sovereignty refers to a state's supreme authority","Over its own internal affairs, above all other authorities within its territory","Recognized only by other countries","Exercised solely by international organizations","That exists only during wartime","A","Internal sovereignty means the state holds supreme authority over all persons, groups, and institutions within its own territory","","Medium","Practice","internal-sovereignty","published","",""
"6","Government","Basic Concepts","External sovereignty refers to a state's","Freedom from control by other states, and its recognition as an equal in the international community","Total control over its own citizens only","Complete isolation from other countries","Authority over its neighbouring states","A","External sovereignty is a state's independence from external control and its recognized status as an equal member of the international community of states","","Medium","Practice","external-sovereignty","published","",""
"7","Government","Organs of Government","The three main organs of government are the","Legislature, Executive, and Judiciary","Police, Army, and Navy","Federal, State, and Local governments","President, Governor, and Chairman","A","Government is generally organized into three main arms: the Legislature (makes laws), the Executive (implements laws), and the Judiciary (interprets laws)","","Easy","Practice","three-organs","published","",""
"8","Government","Organs of Government","The primary function of the Legislature is to","Enforce and implement laws","Make laws for the state","Interpret laws and settle disputes","Command the armed forces","B","The Legislature is the arm of government responsible for making laws, representing the will of the people through elected representatives","","Easy","Practice","legislature-function","published","",""
"9","Government","Organs of Government","The Executive arm of government is mainly responsible for","Making laws","Implementing and enforcing laws and policies passed by the Legislature","Settling legal disputes between citizens","Amending the constitution independently","B","The Executive is charged with implementing and enforcing the laws and policies of the state, and is typically headed by a president or prime minister","","Easy","Practice","executive-function","published","",""
"10","Government","Organs of Government","The Judiciary's main role in government is to","Draft the annual national budget","Interpret laws and administer justice by settling disputes","Command military operations","Collect taxes from citizens","B","The Judiciary interprets the law and administers justice, resolving disputes and ensuring laws are applied fairly and consistently","","Easy","Practice","judiciary-function","published","",""
